sku,category,Description,Color,Specification,SP,MRP,productname,imgurl1,Stock,imgurl,Size
SKU: #1988,"<a href=""http://www.adventureaxis.in/"" title=""Go to Home Page"">Home</a>,<a href=""http://www.adventureaxis.in/camping-outdoor.html"" title="""">Camping &amp; Outdoor</a>","<div class=""short-description"">
                    <div class=""std""><p><span style=""color: #000000;"">Backpacks cylindrical PVC, ideal for the transportation of the strings.</span></p><br>
<p><span style=""color: #000000;"">Padded shoulder straps, snap-lock lanyard. </span></p></div>
        </div>","<div class=""input-box"">
                <input type=""text"" class=""input-text required-entry"" name=""productTagName"" id=""productTagName"">
            </div>","<span style=""color: #000000;"">Backpacks cylindrical PVC, ideal for the transportation of the strings.</span>,<span style=""color: #000000;"">Padded shoulder straps, snap-lock lanyard. </span>","Rs3,850.00",Rs0.00,CAMP CARGO BAG,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/p/i/picture1_rope_bag_1.jpg,In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/p/i/picture1_rope_bag_1.jpg,
SKU: #971,"<a href=""http://www.adventureaxis.in/"" title=""Go to Home Page"">Home</a>,<a href=""http://www.adventureaxis.in/camping-outdoor.html"" title="""">Camping &amp; Outdoor</a>","<div class=""short-description"">
                    <div class=""std""><p><span style=""color: #000000;"">Multi-use waterproof PVC bag,closure with strap and buckle,grab handle.</span></p></div>
        </div>","<div class=""input-box"">
                <input type=""text"" class=""input-text required-entry"" name=""productTagName"" id=""productTagName"">
            </div>","<span style=""color: #000000;"">Multi-use waterproof PVC bag,closure with strap and buckle,grab handle.</span>","Rs2,325.00",Rs0.00,Camp PVC BAG,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/p/i/picture1_971.jpg,In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/p/i/picture1_971.jpg,
SKU: #645,"<a href=""http://www.adventureaxis.in/"" title=""Go to Home Page"">Home</a>,<a href=""http://www.adventureaxis.in/camping-outdoor.html"" title="""">Camping &amp; Outdoor</a>","<div class=""short-description"">
                    <div class=""std""><ul><br>
<li><span style=""color: #000000;"">Capacity-80Z</span></li><br>
<li><span style=""color: #000000;"">Made by Stainless pure steel.</span></li><br>
<li><span style=""color: #000000;"">Brand: Rothco</span></li><br>
</ul></div>
        </div>","<div class=""input-box"">
                <input type=""text"" class=""input-text required-entry"" name=""productTagName"" id=""productTagName"">
            </div>",,"Rs1,000.00",Rs0.00,ROTHCO STAINLESS STEEL FLASK,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_steel_flask.jpg,In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_steel_flask.jpg,
SKU: #865,"<a href=""http://www.adventureaxis.in/"" title=""Go to Home Page"">Home</a>,<a href=""http://www.adventureaxis.in/camping-outdoor.html"" title="""">Camping &amp; Outdoor</a>","<div class=""short-description"">
                    <div class=""std""><ul><br>
<li><span style=""color: #000000;"">Each set in red case with black cut out sponge</span></li><br>
<li><span style=""color: #000000;"">Includes: red multi tool and red flashlight</span></li><br>
<li><span style=""color: #000000;"">Red multi tool: stainless steel with aluminum handle</span></li><br>
<ul><br>
<li><span style=""color: #000000;"">2 3/4"" closed size - 4"" open size</span></li><br>
<li><span style=""color: #000000;"">1 1/2"" needle nose pliers with wire cutters</span></li><br>
<li><span style=""color: #000000;"">1 1/2"" serrated blade</span></li><br>
<li><span style=""color: #000000;"">1 1/4"" straight blade</span></li><br>
<li><span style=""color: #000000;"">Flat head screwdriver / bottle opener</span></li><br>
<li><span style=""color: #000000;"">Phillips head screwdriver</span></li><br>
<li><span style=""color: #000000;"">1 1/4"" flashlight</span></li><br>
</ul><br>
</ul></div>
        </div>","<div class=""input-box"">
                <input type=""text"" class=""input-text required-entry"" name=""productTagName"" id=""productTagName"">
            </div>",,"Rs1,200.00",Rs0.00,ROTHCO MULTI TOOL / FLASHLIGHT GIFT SET,"http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_multi_tool_flashlight_gift_set2.jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_multi_tool_flashlight_gift_set.jpg",In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_multi_tool_flashlight_gift_set2.jpg,
SKU: #866,"<a href=""http://www.adventureaxis.in/"" title=""Go to Home Page"">Home</a>,<a href=""http://www.adventureaxis.in/camping-outdoor.html"" title="""">Camping &amp; Outdoor</a>","<div class=""short-description"">
                    <div class=""std""><ul><br>
<li><span style=""color: #000000;"">Each set in silver case with black cut out sponge</span></li><br>
<li><span style=""color: #000000;"">Includes: silver chow set, silver compass, silver flashlight</span></li><br>
<li><span style=""color: #000000;"">Silver chow set: stainless steel</span></li><br>
<ul><br>
<li><span style=""color: #000000;"">3.5"" closed size - 8"" open size</span></li><br>
<li><span style=""color: #000000;"">2.5"" fork</span></li><br>
<li><span style=""color: #000000;"">2.5"" spoon</span></li><br>
<li><span style=""color: #000000;"">2.5"" knife</span></li><br>
<li><span style=""color: #000000;"">Bottle opener and can opener</span></li><br>
<li><span style=""color: #000000;"">Key ring</span></li><br>
<li><span style=""color: #000000;"">Note: fork side and spoon side are detachable so they can be used separately</span></li><br>
</ul><br>
</ul><br>
<p><span style=""color: #000000;""> </span></p><br>
<p><span style=""color: #000000;""> </span></p></div>
        </div>","<div class=""input-box"">
                <input type=""text"" class=""input-text required-entry"" name=""productTagName"" id=""productTagName"">
            </div>","<span style=""color: #000000;""> </span>,<span style=""color: #000000;""> </span>","Rs1,325.00",Rs0.00,ROTHCO CAMPING GIFT SET,"http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_camping_gift_set2.jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_camping_gift_set.jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/6/866_big.jpg",In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_camping_gift_set2.jpg,
SKU: #2000,"<a href=""http://www.adventureaxis.in/"" title=""Go to Home Page"">Home</a>,<a href=""http://www.adventureaxis.in/camping-outdoor.html"" title="""">Camping &amp; Outdoor</a>","<div class=""short-description"">
                    <div class=""std""><p><span style=""color: #000000;"">A no-nonsense, tough search and rescue light. Submersible to 500 feet, the SabreLite™ 2000 has more failsafe features than any flashlight made.</span></p><br>
<ul><br>
<li><span style=""color: #000000;"">Patented super-bright Xenon laser-spot penetrates water, fog and smoke.</span></li><br>
<li><span style=""color: #000000;"">Submersible to 500 feet.</span></li><br>
<li><span style=""color: #000000;"">The automatic purge valve allows internal gas to escape without sacrificing watertight integrity.</span></li><br>
<li><span style=""color: #000000;"">This flashlight puts out 12,000 candle power, using 3 C-cell alkaline batteries (not included).</span></li><br>
</ul></div>
        </div>","<div class=""input-box"">
                <input type=""text"" class=""input-text required-entry"" name=""productTagName"" id=""productTagName"">
            </div>","<span style=""color: #000000;"">A no-nonsense, tough search and rescue light. Submersible to 500 feet, the SabreLite™ 2000 has more failsafe features than any flashlight made.</span>","Rs3,600.00",Rs0.00,Pelican SabreLite 2000 Flashlight,"http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/b/sbrelite1.jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/b/sbrelite2.jpg",In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/b/sbrelite1.jpg,
SKU: #QSM-26,"<a href=""http://www.adventureaxis.in/"" title=""Go to Home Page"">Home</a>,<a href=""http://www.adventureaxis.in/expeditiongears.html"" title="""">Expedition Gears</a>","<div class=""short-description"">
                    <div class=""std""><p><span style=""color: #000000;"">The Expedition series of sleeping bags have been created by Rab for the harshest conditions.</span></p><br>
<p><span style=""color: #000000;"">Made with Pertex Microlight and Pertex Endurance fabrics, these sleeping bags will offer protection and warmth at some of the lowest temperatures.</span></p><br>
<p><span style=""color: #000000;"">The Expedition bags are slightly oversized to accomodate expedition clothing when getting into the bags.</span></p><br>
<p><span style=""color: #000000;"">The head and foot area of the bags are lined with water resistant Pertex Endurance to prevent water ingress into the bag from footwear and clothing.</span></p><br>
<p><span style=""color: #000000;"">The Expedition series of bags are the warmest Rab sleeping bags and are designed for use in the Arctic and at altitude.</span></p><br>
<p><span style=""color: #000000;""> </span></p><br>
<p><span style=""color: #000000;"">Comfort -29°C</span></p><br>
<p><span style=""color: #000000;"">Limit of Comfort -40°C</span></p><br>
<p><span style=""color: #000000;"">Extreme -67°C</span></p><br>
<p><span style=""color: #000000;""> </span></p><br>
<p><span style=""color: #000000;""><strong>Weight: </strong>1920g / 67.7oz (+160g / 5.6oz stuffsac)</span></p><br>
<p><span style=""color: #000000;""> </span></p><br>
<p><span style=""color: #000000;""><strong>Perfect for: </strong>expeditions to 8000m peaks / polar regions</span></p></div>
        </div>","<div class=""input-box"">
                <input type=""text"" class=""input-text required-entry"" name=""productTagName"" id=""productTagName"">
            </div>","<span style=""color: #000000;"">The Expedition series of sleeping bags have been created by Rab for the harshest conditions.</span>,<span style=""color: #000000;"">Made with Pertex Microlight and Pertex Endurance fabrics, these sleeping bags will offer protection and warmth at some of the lowest temperatures.</span>,<span style=""color: #000000;"">The Expedition bags are slightly oversized to accomodate expedition clothing when getting into the bags.</span>,<span style=""color: #000000;"">The head and foot area of the bags are lined with water resistant Pertex Endurance to prevent water ingress into the bag from footwear and clothing.</span>,<span style=""color: #000000;"">The Expedition series of bags are the warmest Rab sleeping bags and are designed for use in the Arctic and at altitude.</span>,<span style=""color: #000000;""> </span>,<span style=""color: #000000;"">Comfort -29°C</span>,<span style=""color: #000000;"">Limit of Comfort -40°C</span>,<span style=""color: #000000;"">Extreme -67°C</span>,<span style=""color: #000000;""> </span>,<span style=""color: #000000;""><strong>Weight: </strong>1920g / 67.7oz (+160g / 5.6oz stuffsac)</span>,<span style=""color: #000000;""> </span>,<span style=""color: #000000;""><strong>Perfect for: </strong>expeditions to 8000m peaks / polar regions</span>","Rs65,750.00",Rs0.00,RAB sleeping bag EXPEDITION 1200,"http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/e/x/expedition_1200_rab.jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/e/x/expedition_1200_rab_1.jpg",In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/e/x/expedition_1200_rab_1.jpg,
SKU: #7741,"<a href=""http://www.adventureaxis.in/"" title=""Go to Home Page"">Home</a>,<a href=""http://www.adventureaxis.in/camping-outdoor.html"" title="""">Camping &amp; Outdoor</a>","<div class=""short-description"">
                    <div class=""std""><ul><br>
<li><span style=""color: #000000;"">Currently used by the us military</span></li><br>
<li><span style=""color: #000000;"">Nsn 6850-01-352-6129</span></li><br>
<li><span style=""color: #000000;"">Eliminates giardia, most bacteria, viruses, other harmful micro organisms and sediment</span></li><br>
</ul></div>
        </div>","<div class=""input-box"">
                <input type=""text"" class=""input-text required-entry"" name=""productTagName"" id=""productTagName"">
            </div>",,Rs700.00,Rs0.00,MILITARY WATER PURIFICATION POWDER PACKETS,"http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/i/military_water_purification_powder_packets.jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/i/military_water_purification_powder_packets3.jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/i/military_water_purification_powder_packets2.jpg",In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/i/military_water_purification_powder_packets.jpg,
SKU: #IAI-05,"<a href=""http://www.adventureaxis.in/"" title=""Go to Home Page"">Home</a>,<a href=""http://www.adventureaxis.in/expeditiongears.html"" title="""">Expedition Gears</a>","<div class=""short-description"">
                    <div class=""std""><p><span style=""color: #000000; font-family: 'book antiqua', palatino;"">A warm PrimaLoft® synthetic insulated sock with Pertex® outer fabric to keep feet warm in cold and wet environments.</span></p></div>
        </div>","<div class=""input-box"">
                <input type=""text"" class=""input-text required-entry"" name=""productTagName"" id=""productTagName"">
            </div>","<span style=""color: #000000; font-family: 'book antiqua', palatino;"">A warm PrimaLoft® synthetic insulated sock with Pertex® outer fabric to keep feet warm in cold and wet environments.</span>","Rs3,200.00",Rs0.00,Rab Hot Socks,"http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/h/o/hot_socks_rab.jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/a/rab_hot_socks_integral.jpg",In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/h/o/hot_socks_rab.jpg,
SKU: #QSG-20,"<a href=""http://www.adventureaxis.in/"" title=""Go to Home Page"">Home</a>,<a href=""http://www.adventureaxis.in/camping-outdoor.html"" title="""">Camping &amp; Outdoor</a>","<div class=""short-description"">
                    <div class=""std""><p><span style=""color: #000000;"">The Explorer range of sleeping are duck down filled sleeping bags designed for general outdoor and trek and travel use. They are filled with 600 fill power European Duck down and use a Pertex Microlight inner and outer fabric. These bags balance the robust consrtuction with weight and warmth, ideal for camping, travel and general use.</span></p><br>
<p><span style=""color: #000000;"">The bags can be unzipped completely via a full L-shaped zip so can be used as a light down quilt or vented in warmer conditions.</span></p><br>
<p><span style=""color: #000000;""> </span></p><br>
<p><span style=""color: #000000;"">Comfort 7°C</span></p><br>
<p><span style=""color: #000000;"">Limit of Comfort 2°C</span></p><br>
<p><span style=""color: #000000;"">Extreme -13°C</span></p><br>
<p><span style=""color: #000000;""> </span></p><br>
<p><span style=""color: #000000;""><strong>Weight: </strong>940g / 33.2oz (+60g / 2.1oz stuffsac)</span></p></div>
        </div>","<div class=""input-box"">
                <input type=""text"" class=""input-text required-entry"" name=""productTagName"" id=""productTagName"">
            </div>","<span style=""color: #000000;"">The Explorer range of sleeping are duck down filled sleeping bags designed for general outdoor and trek and travel use. They are filled with 600 fill power European Duck down and use a Pertex Microlight inner and outer fabric. These bags balance the robust consrtuction with weight and warmth, ideal for camping, travel and general use.</span>,<span style=""color: #000000;"">The bags can be unzipped completely via a full L-shaped zip so can be used as a light down quilt or vented in warmer conditions.</span>,<span style=""color: #000000;""> </span>,<span style=""color: #000000;"">Comfort 7°C</span>,<span style=""color: #000000;"">Limit of Comfort 2°C</span>,<span style=""color: #000000;"">Extreme -13°C</span>,<span style=""color: #000000;""> </span>,<span style=""color: #000000;""><strong>Weight: </strong>940g / 33.2oz (+60g / 2.1oz stuffsac)</span>","Rs12,600.00",Rs0.00,RAB EXPLORER 300,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/e/x/explorer_300_rab.jpg,In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/e/x/explorer_300_rab.jpg,
