category,description,MRP,SP,imgurl1,imgurl,productname
Jump Rope ,"
	1) Antimicrobial treated handles control odor and staining caused by bacteria ,
	2) Steel bearings for smooth, consistent swing motion ,
	3) Dual-corded rope resists abrasion and maintains shape ,
	4) Dual injection molded handles enhance grip for greater control",899,89,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_495e7b0694e453bb9ad0faacac718d80.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_95286a045d8ca5cf2336119d1137faae.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_495e7b0694e453bb9ad0faacac718d80.jpg,"
	Anti-Microbial Speed Rope"
Training Aids ,"
	Designed to alleviate stress on wrist joints Increases range of motion during push-ups Cushioned comfort grips reduce hand fatigue Delta shape base stabilizes platform with even weight distribution Non-skid rubber traction pads Easy cleaning, transport and storage",1199,179,,http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_b5e4bacfcc153d13e465193789206ed9.jpg,"
	Push Up Bars"
Fitness Gloves ,"
	StretchBack™ performance mesh on back of hand and between fingers increases flexibility,
	Leather palm protects hand and maintains strong feel on bar,
	Open cell foam cushions palm and fingers,
	½ finger length increases contact with grip,
	Enhanced thumb protection,
	Double stitched for enhanced durability,
	Fully adjustable wrist closure",749,674,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_0630d856b8ad959629885218f19202e0.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_35f5c5e42199e7297eafb9eece60e79b.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_3e6e26b22fd474b7f6f0737431cd877d.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_0630d856b8ad959629885218f19202e0.jpg,"
	Power StretchBack"
Resistance Cables ,"
	1) For total body toning and gains in strength, endurance and performance,
	2) PowerAmp™ xXx tubing lasts 3x’s longer than standard cables,
	3) Molded foam handles enhance grip comfort,
	4) Heavy duty door jamb attachment provides more exercise options,
	5) Lightweight and portable",1199,,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_028e1b852421578c72a9facc4791a9bb.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_e6c5d0cafc2232a39c723d4e00b1a3f0.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_028e1b852421578c72a9facc4791a9bb.jpg,"
	FlexFast Cable 10lb"
Fitness Gloves ,"
	For kick-boxing, martial arts and bag work,
	Designed specifically for women,
	Fully adjustable graduated leather WristWrap provides maximum support and flexibility,
	NoSweat™ lining wicks away moisture to keep hands dry,
	Ultra-light foam protects with minimum bulk,
	Hinged thumb allows full range of motion and positions thumb next to fist,
	Fully-padded open finger design maximizes protection,
	Cushioned palm absorbs shock",2899,269,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_ab8eba09ea353b54e55c118392579f69.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_043304d9a69ab19d2837b1f5199df3d9.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_07a420021d6e288bda39184c9381eb51.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_4a023fe4e1095a19cdd0f90dec6ad3d6.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_ab8eba09ea353b54e55c118392579f69.jpg,"
	Womens Wristwrap"
Fitness Gloves ,"
	For kick-boxing, martial arts and bag work,
	Fully adjustable graduated leather WristWrap provides maximum support and flexibility,
	Ultra-light foam protects with minimum bulk,
	NoSweat™ lining wicks away moisture to keep hands dry,
	Hinged thumb allows full range of motion and positions thumb next to fist,
	Fully-padded open finger design maximizes protection,
	Cushioned palm absorbs shock",3799,3419,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_429c249dfd9130640b1b01cb08d2bae2.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_0d9d2406f4208d842d828c1bd65826b4.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_8640340f341add9347579779dcb81b79.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_9e36beda2eccf1f6599a3a171c2005a6.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_429c249dfd9130640b1b01cb08d2bae2.jpg,"
	Wristwrap"
Fitness Gloves ,,749,674,,http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_a7afc0b6d717ee81b7b5e9395a84ddec.jpg,"
	Womens Power StretchBack"
Jump Rope ,"
	1) Ergonomically-correct trigger handles maximize control and comfort,
	2) Steel bearings for smooth, consistent swing motion,
	3) Dual-corded rope resists abrasion and maintains shape",899,89,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_2ce844a4e0b4ab39163a37ce1226e14a.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_81ff13e589cd6486579c6f9551e3a4a0.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_2ce844a4e0b4ab39163a37ce1226e14a.jpg,"
	Trigger Handle PVC"
Fitness Gloves ,"
	StretchBack™ performance mesh on back of hand and between fingers increases flexibility,
	Leather palm protects hand and maintains strong feel on bar,
	Open cell foam cushions palm and fingers,
	½ finger length increases contact with grip,
	Enhanced thumb protection,
	Double stitched for enhanced durability,
	Fully adjustable wrist closure",749,674,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_0630d856b8ad959629885218f19202e0.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_35f5c5e42199e7297eafb9eece60e79b.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_3e6e26b22fd474b7f6f0737431cd877d.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_0630d856b8ad959629885218f19202e0.jpg,"
	Power StretchBack"
Jump Rope ,"
	1) Ergonomically-correct trigger handles maximize control and comfort,
	2) Abrasion-resistant DuraGrade™ leather rope,
	3) Steel bearings for smooth, consistent swing motion",899,89,,http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_a5e073ee1918c8368fcc0e59aecc221d.jpg,"
	Trigger Handle Leather"
