Description,MRP,SP,Variant,imgurl,productname
"Improve your game and lower your scores with the DDH Special Golf Package from Dunlop! This 13-piece golf package includes an oversize alloy driver, fairways and a hybrid club. With the putter and 5-P,S irons, you'll have a complete set of clubs. A lightweight stand bag and head covers are included for protection and easy portability.13 piece golf packageOversize alloy driver, two fairways, and a hybrid club. 5-P,S IronsIncludes putter, lightweight stand bag and head coversNote: The images shown above are indicative only, actual product may differ according to the selection of specifications.",,"21,990",Left Handed Regular Graphite ; Right Handed Regular Graphite ;,"golfessentials.in/images/dunlop/full/ddh/1.jpg,golfessentials.in/images/dunlop/full/ddh/2.jpg,golfessentials.in/images/dunlop/full/ddh/3.jpg",Dunlop DDH Graphite Full Set
"NIKE VR_S Junior Golf Set (SIZE 2)

Young athletes looking to play like the pros now have a game-changing set of clubs to help them reach their goal. The Nike Golf VR_S Covert Junior set, available now at retail, features the same look, feel and signature red color as the VR_S Covert line of clubs made for adults.
The club sets, uniflex and available in two sizes, offer a range of Nike Golf clubs designed to promote proper swing fundamentals through ideal length, weight and aerodynamic design. Both the five-piece and seven-piece sets include a lightweight and specialized VR_S Junior Golf bag.

Composition:
Driver
4 Hybrid 
7 Iron 
9 Iron 
Sand Wedge (56"")
Putter
Stand Bag

Benefits Include:
For Heights (52"" - 61"")
Aerodynamic, oversized, ultra-light driver and hybrid with high loft to promote launch
Rubber grips and graphite shafts for durability and controlled swing
Wide sole, deep cavity back #7, #9 irons and sand wedge with a low center of gravity to help get the ball airborne
Pro-style design putter with milled flat face for precision putts
Lightweight carry bag with double strap for ease of carry; four-way divider to organize clubs; three zip pockets; and bag kickstandNote: The images shown above are indicative only, actual product may differ according to the selection of specifications.",,"15,900",Juniors Right Handed ;,"golfessentials.in/images/nike/full_sets/vrs_junior_size_2/1.jpg,golfessentials.in/images/nike/full_sets/vrs_junior_size_2/2.jpg",Nike VR-S Junior Golf Set (Size 2)
"Callaway's newest XJ Junior Set designed for 9-12 year old boys comes with a driver, fairway wood, hybrid, two irons, a sand wedge and a putter to give him everything he needs to succeed on the course. These clubs were engineered specifically for junior golfers, allowing for the distance control and high ball flights that build his confidence. Your new player will generate more power and enjoy instant results with clubs that develop his love for the game.

Designed for Juniors

The lengths, weights and lofts were designed specifically for junior golfers, and to help make the XJ Series Sets the perfect clubs to learn and enjoy the game. The increased hosel offset helps square the face at impact for improved distance and accuracy.

Distance Made Easy
Every club in the set was configured to be energy efficient, allowing junior golfers to swing away with confidence and generate more power from everywhere on the course. The center of gravity and perimeter weighting were strategically placed to help get the ball up in the air quickly and easily.

Complete Course Coverage
The all-in-one set is designed to give juniors everything they need to go from the shop straight to the course. The clubs are designed for improved distance control and high ball flights out of a variety of lies so juniors feel confident that they have the right club for the next shot.

COMPOSITION:

Driver
Fairway Wood
Hybrid#5
7-iron
Sand Wedge
Blade Putter
Stand Bag








Note: The images shown above are indicative only, actual product may differ according to the selection of specifications.","Regular Price: , 18,000","16,800",Juniors Right Handed ;,"golfessentials.in/images/callaway/full_sets/xj_junior/1.jpg,golfessentials.in/images/callaway/full_sets/xj_junior/2.jpg,golfessentials.in/images/callaway/full_sets/xj_junior/3.jpg",Callaway XJ Jr Boys Set Ages 9-12 (7 Clubs + 1 Stand Bag)
"Callaway engineers were tasked with building a complete set of golf clubs designed for emerging golfers. They delivered in every way possible with the new Warbird Set, which generates commanding distance and an accuracy advantage from every club in the bag. Every golfer can own the confidence in complete course coverage with the full range of performance features for more precision shots from anywhere on the course.Design characteristics, such as CG placement and club configuration, were optimized to help an emerging golfer transmit more power to the ball with a distance-enhanced trajectory and pinpoint accuracy.Set Configurations:12-piece set10.5 degree Driver1 Fairway Wood3 &amp; 4 Hybrids7 Irons (5-S) PutterA Cart bag. Note: The images shown above are indicative only, actual product may differ according to the selection of specifications.ReviewsThis is a good set for beginners and amateurs. Lightweight and forgiving. The irons are pretty decent but the drivers aren't great. It offers most clubs that you'd ever require, so it is complete in that sense. The Hybrids make sense for beginners not adept at playing long irons. The bag is a bit bulky to carry around. Overall quite a good deal for the price.by: Nikhil Mohandas on September, 17 2013Write a ReviewYour Name:* Fields marked with * are required. ","Regular Price: , 55,000","52,999",Right Handed Regular Graphite ;,"golfessentials.in/images/callaway/full_sets/warbird_full/1.jpg,golfessentials.in/images/callaway/full_sets/warbird_full/2.jpg,golfessentials.in/images/callaway/full_sets/warbird_full/3.jpg",Callaway Warbird Graphite Full Set 
"Designed for the beginner to intermediate player with clubheads that are 15% lighter than adults. The flexible shafts help the developing player get the ball up into the air with ease. Features:Optimal Height Range 48""-53.5""Approximate ages 7-9Composite shaft Fairway DriverComposite shaft 6 Iron, 8 Iron, and PWSteel shaft PutterDual-strap Stand BagHand Orientation: Right HandedNote: The images shown above are indicative only, actual product may differ according to the selection of specifications.","Regular Price: , 12,000","11,900",Juniors Right Handed ;,"golfessentials.in/images/uskids/full_kits/ul51/1.jpg,golfessentials.in/images/uskids/full_kits/ul51/2.jpg,golfessentials.in/images/uskids/full_kits/ul51/3.jpg",US Kids UL-51 5 Club Set
"Maxfli Men's Revolution White Complete SetThe Revolution White complete set offers everything you need to be well-equipped for any round. A 16-piece set includes an oversized Ti Matrix driver with a fixed weight, a 3 wood, 2 hybrid-irons, 5-PW irons, an alignment putter, a capable and stylish stand bag, and 4 headcovers. In addition, the Revolution White offers a sharp, white clubhead finish on the metal woods - a look that inspires confidence at address.460cc Ti Matrix Driver &amp; Fairway 3 WoodFeaturing a USGA maximum allowed 460cc forged driver, powered by a strategic heel weight and graphite shaft for extreme distance and accuracy.3 Wood delivers superior forgiveness and high launch3 and 4 Hybrid-Irons3 and 4 hybrid-irons replace the hard-to-hit long irons by fusing together the technology of easier to hit woods and the accuracy of irons. Low hybrid profile provides a low center of gravity and high launch ball flightUndercut Stainless Irons 5-PWStainless undercut irons move the center of gravity low and towards the perimeter for more distance, accuracy, and consistency. Stainless Steel construction ensures quality and, durability. Vibration dampening medallion provides added feelAlignment PutterAlignment mallet putter provides high moment of inertia to reduce twisting and turning of club head on off-center hits. The top alignment marking helps to visualize a line to the target.Deluxe Stand Bag with Club Organizer Top5 total pockets: includes fur-lined valuables pouch, large garment pocket, and cooler pocket. Also included is a towel clip and umbrella sleeve. Full-length dividers protect the graphite shafts, while the padded carry strap and club organizer top evenly distribute weightNote: The images shown above are indicative only, actual product may differ according to the selection of specifications.","Regular Price: , 23,500","22,325",Right Handed Regular Steel ;,"golfessentials.in/images/maxfli/full/revolution/1.jpg,golfessentials.in/images/maxfli/full/revolution/2.jpg,golfessentials.in/images/maxfli/full/revolution/3.jpg",Maxfli Revolution Golf Full Set
"Optimal Height Range 61.5""-64.5"". Designed for the intermediate to advanced junior players with clubheads that are 6% lighter than adults. Shafts are frequency matched and spined with a low flex point for optimal ball flight for the better player.11-Club Set includes:Graphite shaft Release 420 DriverGraphite shaft 3 wood and 4 hybridSteel shaft 5 iron, 6 iron, 7 iron, 8 iron, 9 iron, PW, SW and a PutterNote: The images shown above are indicative only, actual product may differ according to the selection of specifications.","Regular Price: , 36,000","33,990","Juniors Right Handed Regular 61.5"" ;","golfessentials.in/images/uskids/full_kits/ts63/1.jpg,golfessentials.in/images/uskids/full_kits/ts63/2.jpg",US Kids TS 63 Full Set (Steel Irons) 
" Designed for the beginner to intermediate player with clubheads that are 15% lighter than adults. The flexible shafts help the developing player get the ball up into the air with ease. Features:Optimal Height Range 52.5""-55.5""Approximate ages 8-10Composite shaft Fairway DriverComposite shaft 6 Iron, 8 Iron, and PWSteel shaft PutterDual-strap Stand BagHand Orientation: Right HandedNote: The images shown above are indicative only, actual product may differ according to the selection of specifications.","Regular Price: , 13,000","12,900",Juniors Right Handed ;,"golfessentials.in/images/uskids/full_kits/ul54/1.jpg,golfessentials.in/images/uskids/full_kits/ul54/2.jpg",US Kids UL-54 5 Club Set
"DRIVER:Outrageous Ball Speed. Explosive Distance. That's what you'll get with the Callaway X Hot Driver. With its OptiFit design, the X Hot Driver also provides enhanced adjustability for a wide range of swings. A lighter configuration, optimized CG and larger sweet spot help to maximize length, and the OptiFit Hosel lets golfers set the speed frame face to fine tune their trajectory off the tee. OptiFit Technology: OptiFit Hosel allows golfers to set the adjustable speed frame face in either the Open, Square or Closed positions to fine tune trajectory and appearance. Speed Frame Face Technology: A combination of VFT and Hyperbolic Face Technology creates a larger sweet spot and fast ball speed for maximum distance. This technology also saves weight that can be redistributed to the perimeter of the clubhead for a higher MOI. Ultra Thin Wall Casting Technology: Callaway's thinnest casting technology ever creates a lighter overall configuration and an optimized CG to promote more distance.
Lightweight Project X Velocity Shaft: This premium lightweight shaft further enhances speed and distance.
FAIRWAY:Callaway X Hot Fairway Woods are longer from everywhere and offer total performance combining a Forged Face Cup with the Speed Frame Face to increase ball speeds across the face. Designed with a lower CG to reduce spin and a modern Warbird soleplate, these new fairway woods provide increased distance and versatility from the tee, fairway or rough.Forged Speed Frame Face Cup: Increases ball speeds across the face for longer, more consistent distance from everywhere.Modern Warbird Sole: This updated design builds off of one of the most versatile fairway woods ever produced to provide increased versatility from everywhere.
Internal Standing Wave: Lowers the CG of the head to create a lower spinning trajectory and increase distance.


Lightweight Project X Velocity Shaft: This premium lightweight shaft further enhances speed and distance..


HYBRID: The Hyper Distances with Hyper-speed Technology The new X2 Hot hybrid by Callaway Golf is re-engineered with all new driver face technology for distance and a tour inspired shape for accuracy. Callaway has taken the same quantum leap in technology and performance in their fairway category to produce the new X2 Hot hybrid sure to be a major contender on course and in your arsenal of hitters.Features &amp; Benefits
Same Hyper Speed Face Cup as in the X2 Hot Fairway Wood and Driver, made of 455 Carpenter Steel; It's thinner, lighter and more robust to provide exceptional ball speed and unmatched distance.

First time we've used face cup technology in a hybrid, which leads to driver-like CT performance-the CT in this hybrid is 240-245; a huge leap!


Bigger gains on off-centre hits (even low on the face).

Redesigned, tour-inspired head shape so they look like true hybrids - we, Callaway, came up with our own shape!


20% increase in CT on centre hits.


30-40% increase in CT on off-centre hits.

IRONS: The Callaway X Hot Iron's renowned accuracy is just the beginning with an undercut cavity and Speed Frame Face Technology that make this Callaway's longest iron ever. The low, deep center of gravity creates long distance without sacrificing trajectory or stopping power while new feel management technology promotes crisp, dynamic feel at higher ball speeds.

Crafted by Callaway Chief Designer Roger Cleveland with direct input from Callaway's players, these irons provide the ultimate in feel and performance that you can only get in a pure Forging. The Triple Net Forging process allows for more aggressive grooves and extreme precision to create the feel, ball flight and turf interaction that the very best players prefer.



Speed Frame Face Technology: A combination of VFT and Hyperbolic Face Technology creates a larger sweet spot and increases ball speeds across the face for longer, more consistent distance. This technology is borrowed from the X Hot Driver and has been applied to the irons.


Deep Undercut Cavity Design: The deep clubface/undercut cavity system enables engineers to precisely position the CG, increase face compliance and engineer the face of each individual iron to maximize ball speed.





Feel Management Technology is produced through a dual material medallion that fine-tunes sound and promotes a crisp, dynamic feel at higher ball speeds.


Note: The images shown above are indicative only, actual product may differ according to the selection of specifications.","Regular Price: , 116,950","79,990",Right Handed Regular ; Right Handed Stiff ;,golfessentials.in/images/callaway/offer/fit_extreme/1.jpg,Callaway 2014 Full Set (Steel)
"The XJ?Girls Set is designed for kids 9-12 years old or between 51-60 inches tall. Small in size but big on technology, every club comes with the some of the same innovative advancements Callaway Golf has put into its men's and women's?X Series Clubs. The XJ Series?provides the perfect combination of performance and forgiveness so?girls can play confidently and aggressively with golf clubs designed specifically for them and their unique swing needs.360CC DRIVERA smaller version of the X460 Driver, this club is made of aluminum and features the consistent alignment sole and a large effective hitting area for outstanding forgiveness and longer drives.STAINLESS STEEL FAIRWAY WOODFeatures the X-Sole Design for consistent alignment. Also offers perimeter weighting for a precise center of gravity (CG) position, which increases the Moment of Inertia and helps get the ball in the air quickly and easily.STAINLESS STEEL IRONSCavity-back irons with Precision Notch Weighting for amazing forgiveness and stability. The set includes a 5-, 7- and 9-iron, as well as a sand wedge.XJ ODYSSEY 2-BALL PUTTERThe 2-Ball alignment system increases accuracy so more putts find their way into the hole.LIGHTWEIGHT STAND BAGWith a three-way triangular top, seven zippered pockets, a double strap, an MP3 player holder and a rain hood.Note: The images shown above are indicative only, actual product may differ according to the selection of specifications.",,"17,990",Juniors ;,golfessentials.in/images/callaway/full_sets/xj_girls/1.jpg,Callaway XJ Junior Girls Set (Age 9-12)
