SKU,Description,SP,MRP,productname,Size,imgurl,Stock
404207-F49837,"<div class=""more"" id=""hp_fix_desc"">
							<p>The adidas Power 2 Backpack is made for everything from the classroom to training sessions at the gym. The heavy-duty backpack has smart perks like a padded laptop compartment, side mesh pockets and compression straps to keep your load secure.</p>

<ul>
<li>Zip main compartment; Large front zip pocket; Padded laptop compartment; Side mesh pockets</li>
<li>Padded adjustable shoulder straps</li>
<li>Heavy-duty hang loop on top</li>
<li>Compression straps for a secure load</li>
<li>Dimensions: 32 cm x 18 cm x 44 cm</li>
<li>100% polyester plain weave</li></ul><br>						</div>",£22.99," ,
							, ,
															",adidas Power 2 Backpack,,"http://products.activinstinct.com/y2014/m01/404207/86493768-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
377619-1238440,"<div class=""more"" id=""hp_fix_desc"">
							<p>Under Armour Storm treated to protect your gear from the elements, this rucksack features a number of compartments to cater for a variety of needs. HeatGear adjustable shoulder straps offer extra comfort and breathability and there is also a comfortable grab handle.</p>

<p>Features:</p>
<ul>
<li>Soft, Tricot lined laptop sleeve; can hold up to a 15in laptop</li>
<li>Front H20 repellent Storm valuables pocket</li>
<li>2 side water bottle pockets</li>
<li>Large, front gusseted laundry pocket</li></ul><br>						</div>",£26.99," ,
							, ,
															",UNDER ARMOUR Hustle Backpack,,"http://products.activinstinct.com/y2013/m08/377619/99762970-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
302250-BA4513-067,"<div class=""more"" id=""hp_fix_desc"">
							<p>With a cushioned shoulder strap and water-resistant bottom, the Nike Team Training Max Air (Medium) Duffel Bag provides lightweight shock absorption and keeps gear dry in wet conditions.</p>

<p>Benefits</p>
<ul>
<li>Adjustable shoulder strap with Max Air unit for shock absorption and custom cushioning</li>
<li>VELCRO brand fastener double-grip handles for versatile transport</li>
<li>Dual-zip main compartment for secure, spacious storage</li>
<li>Ventilated shoe compartment for versatile storage</li>
<li>Water-resistant bottom for protection</li>
</ul><br>
<p>Additional Details</p>
<ul>
<li>Dimensions: 32cm H x 29cm W x 61cm D</li>
<li>Fabric: 100% polyester</li></ul><br><p>Material</p><ul><li>Polyester </li></ul>						</div>",£24.99," ,
							, ,
															",NIKE Team Training Max Air Medium Duffel Bag,,"http://products.activinstinct.com/y2012/m07/302250/30649001-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
304297-BA4513-061,"<div class=""more"" id=""hp_fix_desc"">
							<p>With a cushioned shoulder strap and water-resistant bottom, the Nike Team Training Max Air (Medium) Duffel Bag provides lightweight shock absorption and keeps gear dry in wet conditions.</p>

<p>Benefits</p>
<ul>
<li>Adjustable shoulder strap with Max Air unit for shock absorption and custom cushioning</li>
<li>VELCRO brand fastener double-grip handles for versatile transport</li>
<li>Dual-zip main compartment for secure, spacious storage</li>
<li>Ventilated shoe compartment for versatile storage</li>
<li>Water-resistant bottom for protection</li>
</ul><br>
<p>Additional Details</p>
<ul>
<li>Dimensions: 32cm H x 29cm W x 61cm D</li>
<li>Fabric: 100% polyester</li></ul><br><p>Material</p><ul><li>Polyester </li></ul>						</div>",£26.99," ,
							, ,
															",NIKE Team Training Max Air Medium Duffel,,"http://products.activinstinct.com/y2012/m08/304297/19952981-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
248635-90762,"<div class=""more"" id=""hp_fix_desc"">
							<p>The Antidote is a premium performance system connecting you to the hydration you need. Seamlessly integrated into their specialized packs, with quick connect enhancements and unparalleled stability, the Antidote is light, low-profile and perfectly equipped for any dose of adventure.</p>

<p>Available in three different sizes, this is the medium sized model of the range with a 2 litre capacity.</p>

<p>Features:</p>
<ul>
<li>Air-Light fill port, the widest on the market, making it easier to hold</li>
<li>Quick-Snap cap, only 1/5 turn from closed to open requiring very little effort</li>
<li>Low profile fit with internal baffle (2 and 3 litre only)</li>
<li>RF welded trilaminate polyurethane reservoir film for incredible strength and burst resistance</li>
<li>Hydroguard anti microbial protection</li>
<li>Kink resistant Pureflow tubing with a taste free, Hydroguard protected liner</li>
<li>Quick link system, more than just a quick disconnect, Quick Link allows multiple innovations to click into place</li>
<li>Integrated dryer arms</li></ul><br>						</div>",£26.99," ,
							, ,
															",CAMELBAK Antidote Reservoir with Quick Link System 2 Litre,,"http://products.activinstinct.com/y2011/m10/248635/32956963-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
248613-90763,"<div class=""more"" id=""hp_fix_desc"">
							<p>The Antidote is a premium performance system connecting you to the hydration you need. Seamlessly integrated into their specialized packs, with quick connect enhancements and unparalleled stability, the Antidote is light, low-profile and perfectly equipped for any dose of adventure.</p>

<p>Available in three different sizes, this is the largest one of the range with a 3 litre capacity.</p>

<p>Features:</p>
<ul>
<li>Air-Light fill port, the widest on the market, making it easier to hold</li>
<li>Quick-Snap cap, only 1/5 turn from closed to open requiring very little effort</li>
<li>Low profile fit with internal baffle (2 and 3 litre only)</li>
<li>RF welded trilaminate polyurethane reservoir film for incredible strength and burst resistance</li>
<li>Hydroguard anti microbial protection</li>
<li>Kink resistant Pureflow tubing with a taste free, Hydroguard protected liner</li>
<li>Quick link system; more than just a quick disconnect, Quick Link allows multiple innovations to click into place</li>
<li>Integrated dryer arms</li></ul><br>						</div>",£29.69," ,
							, ,
															",CAMELBAK Antidote Reservoir with Quick Link System 3 Litre,,"http://products.activinstinct.com/y2011/m10/248613/40950556-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
377758-1241752-001,"<div class=""more"" id=""hp_fix_desc"">
							<p>Under Armour Storm treated to protect your gear from the elements, this holdall features a number of compartments to cater for a variety of needs.</p>

<p>Dimensions: 27 x 12 x 11in</p>

<p>Features:</p>
<ul>
<li>Front H20 repellent Storm valuables pocket</li>
<li>Adjustable shoulder strap with HeatGear</li>
<li>Ultra comfort grab handle</li>
<li>Hypalon patch for extra attachment points</li>
<li>2 large vented pockets, 1 gusseted for laundry and shoes</li></ul><br><p>Material</p><ul><li>Ripstop </li></ul>						</div>",£29.99," ,
							, ,
															",UNDER ARMOUR Hustle Duffel Large,,"http://products.activinstinct.com/y2013/m08/377758/97110108-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
401442-BA4654,"<div class=""more"" id=""hp_fix_desc"">
							<p>The Nike C72 Legend 2.0 (Small) Duffel Bag offers several storage options to help keep your items safe and secure, while a durable, water-repellent finish provides protection from the elements.</p>

<p>Benefits</p>
<ul>
<li>Double-grip handles and detachable shoulder strap for versatile transport</li>
<li>Dual-zip main compartment for secure, spacious storage</li>
<li>Quick-stash cell phone pocket and other small-item pockets for versatile storage</li>
<li>DWR (durable, water-repellent) finish for protection from the elements</li>
<li>Screen print for style</li>
</ul><br>
<p>Additional Details</p>
<ul>
<li>Dimensions: 20"" L x 7in W x 8.5"" H</li>
<li>Fabric: 100% recycled polyester</li></ul><br>						</div>",£29.99," ,
							, ,
															",NIKE C72 Legend 2.0 Small Duffel Bag,,"http://products.activinstinct.com/y2014/m01/401442/93205603-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
401439-BA4653,"<div class=""more"" id=""hp_fix_desc"">
							<p>The Nike C72 Legend 2.0 Duffel Bag offers several storage options to help keep your items safe and secure, while a durable, water-repellent finish provides protection from the elements.</p>

<p>Benefits:</p>
<ul>
<li>Double-grip handles and detachable shoulder strap for versatile transport</li>
<li>Dual-zip main compartment for secure, spacious storage</li>
<li>Quick-stash cell phone pocket and other small-item pockets for versatile storage</li>
<li>DWR (durable, water-repellent) finish for protection from the elements</li>
<li>Screen print for style</li>
</ul><br>
<p>Additional Details</p>
<ul>
<li>Dimensions: 58cm L x 22cm W x 27cm H</li>
<li>Fabric: 100% recycled polyester</li></ul><br>						</div>",£34.99," ,
							, ,
															",NIKE C72 Legend 2.0 Duffel Bag,"Purple/Black,Black/Green,Pink","http://products.activinstinct.com/y2014/m01/401439/38944541-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
213192-61614-IN,"<div class=""more"" id=""hp_fix_desc"">
							<p>The Camelbak Unbottle is focussed on providing you with cool water featuring a fully insulated Antidote reservoir that quickly turns any expedition or day pack into a hydration system. Unbottle includes 4 external attachment clips, a handle with QR buckle and lower zip for easy access to the Quick link system.</p><p>Material</p><ul><li>420D Nylon </li><li>770 Diamond Clarus </li><li>Pu Coating </li></ul>						</div>",£36.99," ,
							, ,
															",CAMELBAK Unbottle 2.0 Litre,,"http://products.activinstinct.com/y2011/m02/213192/25504638-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
416032-110537,"<div class=""more"" id=""hp_fix_desc"">
							<p>Made from durable, lightweight fabric, this running backpack features a main compartment, with a bladder pocket, external access pockets and strategic padding on the back for additional comfort.</p>

<p>The bag also features adjustable body harness straps and an elastic cord system on the front.</p>

<ul>
<li>Volume: 10 litres</li>
<li>Dimensions: 44x45x10cm (LxWxH)</li></ul><br><p>Material</p><ul><li>Nylon </li></ul>						</div>",£35.99," ,
							, ,
															",ASICS Lightweight Running Backpack,,"http://products.activinstinct.com/y2014/m03/416032/51710640-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
378655-L32916600,,£19.99," ,
							, ,
															",SALOMON Trail Gaiters Low,"M,L","http://products.activinstinct.com/y2013/m08/378655/75865736-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
24804-1111W////,"<div class=""more"" id=""hp_fix_desc"">
							<p>The sock within a sock. A unique double layer system utilises an inner layer that stays with the foot and an outer layer that moves with the shoe. This prevents blisters and wear through reducing the friction which can ruin any long distance athletes day.</p>

<p>Constructed from 76% Cotton and 24% Nylon this sock is suitable for running, gym use or racket sports.</p><p>Material</p><ul><li>Cotton 76%</li><li>Nylon 24%</li></ul>						</div>",£7.99," ,
							, ,
															",1000 MILE Original White Sock ,"UK6 - 8.5,UK9 - 11,UK12 - 14","http://products.activinstinct.com/y2008/m12/24804/99691478-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
